Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,1460.763672,1622.998657,1372.182129,1518.340088,1518.340088,209006838368
2023-03-01,1518.477417,1723.992432,1301.583008,1644.042114,1644.042114,282685807776
2023-04-01,1644.851807,1945.184082,1624.278687,1715.494019,1715.494019,254601891218
2023-05-01,1715.336182,1799.683228,1594.647949,1771.427856,1771.427856,185887029891
2023-06-01,1771.494629,1783.682373,1497.785278,1704.364014,1704.364014,183806584752
2023-07-01,1704.162598,1810.507324,1658.025635,1688.730591,1688.730591,168346284454
2023-08-01,1688.831665,1710.479614,1427.413208,1560.088989,1560.088989,152593962617
2023-09-01,1560.319824,1590.476807,1426.552979,1576.457153,1576.457153,129325986372
2023-10-01,1576.353760,1767.912598,1444.367432,1705.389404,1705.389404,179082750846
2023-11-01,1705.429932,2000.404419,1675.852539,1849.850098,1849.850098,290709341174
2023-12-01,1849.329956,2229.313965,1850.764893,2081.036865,2081.036865,317096883467
2024-01-01,2073.126465,2203.894043,2048.800537,2153.114502,2153.114502,24283071833
2024-01-03,2153.246826,2179.315430,1946.711548,2047.125610,2047.125610,16635567104
