Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,21304.230469,23541.443359,20022.113281,21885.335938,21885.335938,676308692349
2023-03-01,21888.718750,26917.972656,18531.486328,25708.375000,25708.375000,835875989725
2023-04-01,25707.181641,28022.125000,24484.810547,26284.855469,26284.855469,469574192877
2023-05-01,26282.183594,26917.109375,23848.007813,25813.796875,25813.796875,405796674852
2023-06-01,25812.101563,28834.900391,22886.794922,28014.898438,28014.898438,434359944439
2023-07-01,28011.220703,28956.966797,26125.642578,26556.158203,26556.158203,359100476213
2023-08-01,26558.884766,27545.892578,23373.714844,24975.578125,24975.578125,393306476836
2023-09-01,24979.845703,25788.466797,23192.755859,25435.613281,25435.613281,329657434583
2023-10-01,25435.583984,33210.746094,25090.888672,32506.679688,32506.679688,440709926600
2023-11-01,32504.523438,35384.437500,32061.949219,34499.992188,34499.992188,525936066613
2023-12-01,34502.382813,41539.382813,34433.921875,38080.046875,38080.046875,648587759629
2024-01-01,38127.710938,41609.734375,37988.554688,41089.292969,41089.292969,67502500277
2024-01-03,41092.613281,41549.648438,37374.996094,39681.335938,39681.335938,40605335552
